land_ref_label,land_Lat-Center,land_Lon-Center,land_Lat-NW,land_Lon-NW,land_Lat-SE,land_Lon-SE,GRASSY_LOCAL,DENSE_WOOD_LOCAL,WOODY_LOCAL,SUBURBAN_LOCAL,WATERY_LOCAL,URBAN_LOCAL,AGRICULTURAL_LOCAL,GRASSY_BROAD,DENSE_WOOD_BROAD,WOODY_BROAD,SUBURBAN_BROAD,WATERY_BROAD,URBAN_BROAD,AGRICULTURAL_BROAD
golfHopewell_2,40.373815,-74.783442,40.3774381884058,-74.78802075457875,40.370191811594204,-74.77886324542123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golfHopewell_3,40.373815,-74.762368,40.3774381884058,-74.76694675457875,40.370191811594204,-74.75778924542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golfHopewell_4,40.364166,-74.804523,40.367789188405794,-74.80910175457876,40.3605428115942,-74.79994424542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golfHopewell_5,40.364166,-74.783442,40.367789188405794,-74.78802075457875,40.3605428115942,-74.77886324542123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golfHopewell_6,40.364166,-74.762368,40.367789188405794,-74.76694675457875,40.3605428115942,-74.75778924542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golfHopewell_7,40.354771,-74.804523,40.358394188405796,-74.80910175457876,40.3511478115942,-74.79994424542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golfHopewell_8,40.354771,-74.783442,40.358394188405796,-74.78802075457875,40.3511478115942,-74.77886324542123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golfHopewell_9,40.354771,-74.762368,40.358394188405796,-74.76694675457875,40.3511478115942,-74.75778924542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golfPrinceton_1,40.347688,-74.682536,40.351311188405795,-74.68711475457876,40.3440648115942,-74.67795724542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golfPrinceton_2,40.347688,-74.661537,40.351311188405795,-74.66611575457875,40.3440648115942,-74.65695824542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golfPrinceton_3,40.347688,-74.640488,40.351311188405795,-74.64506675457876,40.3440648115942,-74.63590924542125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golfPrinceton_4,40.338103,-74.682536,40.341726188405794,-74.68711475457876,40.3344798115942,-74.67795724542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golfPrinceton_5,40.338103,-74.661537,40.341726188405794,-74.66611575457875,40.3344798115942,-74.65695824542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golfPrinceton_6,40.338103,-74.640488,40.341726188405794,-74.64506675457876,40.3344798115942,-74.63590924542125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golfPrinceton_7,40.328815,-74.682536,40.332438188405796,-74.68711475457876,40.3251918115942,-74.67795724542124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
