land_ref_label,land_Lat-Center,land_Lon-Center,land_Lat-NW,land_Lon-NW,land_Lat-SE,land_Lon-SE,GRASSY_LOCAL,DENSE_WOOD_LOCAL,WOODY_LOCAL,SUBURBAN_LOCAL,WATERY_LOCAL,URBAN_LOCAL,AGRICULTURAL_LOCAL,GRASSY_BROAD,DENSE_WOOD_BROAD,WOODY_BROAD,SUBURBAN_BROAD,WATERY_BROAD,URBAN_BROAD,AGRICULTURAL_BROAD
univGuyotHall_8,40.336579,-74.654241,40.34020219,-74.65881975,40.33295581,-74.64966225,0.049596246,0.16949123,0,0.748313099,0.013359527,0.019239897,0,0.301205444,0.177850487,0.026824812,0.031278857,0.170199082,0.289609096,0.003032221
univGuyotHall_9,40.336579,-74.633262,40.34020219,-74.63784075,40.33295581,-74.62868325,0.363247411,0.012911963,0.117471854,0.015431823,0.114031703,0.370717302,0.006187944,0.335052531,0.0172284,0.071578887,0.061927404,0.194291105,0.311997713,0.00792396
univSolarFarm_1,40.345334,-74.668232,40.34895719,-74.67281075,40.34171081,-74.66365325,0.060751188,0.017417675,0.020009152,0.504722502,0.001379304,0.39572018,0,0.111587735,0.04265683,0.007029569,0.491652215,0.00265058,0.344423071,0
univSolarFarm_2,40.345334,-74.647146,40.34895719,-74.65172475,40.34171081,-74.64256725,0.246299055,0.123529065,0.041445324,0.057215137,0.140911477,0.390599943,0,0.200284446,0.084320369,0.031705995,0.165943557,0.124395784,0.393349849,0
univSolarFarm_3,40.345334,-74.626075,40.34895719,-74.63065375,40.34171081,-74.62149625,0.05249742,0.144906268,0.177694985,0.067591294,0.298899485,0.258410548,0,0.070203017,0.060458905,0.103248786,0.185579084,0.20086151,0.37772532,0.001923378
univSolarFarm_4,40.334348,-74.668232,40.33797119,-74.67281075,40.33072481,-74.66365325,0.098326658,0.018233577,0.024803363,0.496746736,1.91E-06,0.361887755,0,0.2815935,0.223065847,0.009650386,0.303947497,0.014113983,0.167628785,0
univSolarFarm_5,40.334348,-74.647146,40.33797119,-74.65172475,40.33072481,-74.64256725,0.098326658,0.018233577,0.024803363,0.496746736,1.91E-06,0.361887755,0,0.316755257,0.121906341,0.059572393,0.064293888,0.175478484,0.258961516,0.003032122
univSolarFarm_6,40.334348,-74.626075,40.33797119,-74.63065375,40.33072481,-74.62149625,0.228454933,0.02950231,0.01236437,0,0.306033441,0.423644946,0,0.206240955,0.023643564,0.039318402,0.061022682,0.236169356,0.404178509,0.029426532
univSolarFarm_7,40.325165,-74.668232,40.32878819,-74.67281075,40.32154181,-74.66365325,0.149899536,0.737603333,0,0,0.112497131,0,0,0.230171997,0.414364759,0.001462696,0.006729578,0.233759996,0.113510972,0
univSolarFarm_8,40.325165,-74.647146,40.32878819,-74.65172475,40.32154181,-74.64256725,0.064197041,0.011660636,0.078976284,0.059645962,0.067214833,0.718305245,0,0.155794453,0.036962569,0.074390571,0.063619873,0.120002969,0.546197848,0.003031716
